id,userId,action,timestamp,detailsA1000,U1000,LOGIN,2026-01-01 15:45:42,User logged in
A1001,U1000,LOGOUT,2026-01-01 15:45:51,User logged out
A1002,U1001,LOGIN,2026-01-01 15:46:11,User logged in
A1003,U1001,LOGOUT,2026-01-01 15:46:32,User logged out
A1004,U1002,LOGIN,2026-01-01 15:47:06,User logged in
A1000,U1000,LOGIN,2026-01-14 11:56:40,User logged in
A1001,U1000,LOGOUT,2026-01-14 11:57:04,User logged out
A1000,U1000,LOGIN,2026-01-14 11:57:30,User logged in
A1000,U1000,LOGIN,2026-01-14 12:02:34,User logged in
A1000,U1000,LOGIN,2026-01-14 12:04:16,User logged in
A1001,U1000,LOGOUT,2026-01-14 12:04:39,User logged out
A1000,U1000,LOGIN,2026-01-14 12:08:42,User logged in
A1001,U1000,LOGOUT,2026-01-14 12:50:38,User logged out
A1000,U1000,LOGIN,2026-01-14 12:51:02,User logged in
A1001,U1000,LOGOUT,2026-01-14 12:54:47,User logged out
A1000,U1000,LOGIN,2026-01-14 12:55:32,User logged in
A1001,U1000,LOGOUT,2026-01-14 12:56:03,User logged out
A1000,U1000,LOGIN,2026-01-14 12:58:56,User logged in
A1000,U1000,LOGIN,2026-01-14 13:01:12,User logged in
A1001,U1000,LOGOUT,2026-01-14 13:02:32,User logged out
